"X__deprecation_message__"	"ip"	"country_code"	"country_name"	"region_code"	"region_name"	"city"	"zip_code"	"time_zone"	"latitude"	"longitude"	"metro_code"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.178.91.192"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.179.232.25"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.180.125.198"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.181.170.202"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.181.192.100"	"VN"	"Vietnam"	"06"	"Tinh Yen Bai"	"Yen Bai"	""	"Asia/Ho_Chi_Minh"	21.7	104.8667	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.181.206.43"	"VN"	"Vietnam"	"06"	"Tinh Yen Bai"	"Yen Bai"	""	"Asia/Ho_Chi_Minh"	21.7	104.8667	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.181.95.200"	"VN"	"Vietnam"	"20"	"Tinh Thai Binh"	"Thanh Pho Thai Binh"	""	"Asia/Ho_Chi_Minh"	20.45	106.3333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.182.178.27"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.182.227.43"	"VN"	"Vietnam"	"SG"	"Ho Chi Minh City"	"Ho Chi Minh City"	""	"Asia/Ho_Chi_Minh"	10.8142	106.6438	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.182.65.99"	"VN"	"Vietnam"	"SG"	"Ho Chi Minh City"	"Ho Chi Minh City"	""	"Asia/Ho_Chi_Minh"	10.8142	106.6438	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.183.22.235"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.183.50.225"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.183.8.103"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.184.52.145"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.188.133.71"	"VN"	"Vietnam"	"44"	"An Giang"	"Long Xuyen"	""	"Asia/Ho_Chi_Minh"	10.3864	105.4352	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.102.36"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.113.24"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.119.252"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.124.184"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.131.4"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.142.205"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.145.48"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.149.222"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.152.245"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.153.6"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.154.69"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.159.24"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.183.105"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.195.27"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.197.163"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.200.12"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.205.37"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.208.115"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.210.44"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.214.218"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.222.84"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.223.62"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.229.131"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.229.133"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.232.94"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.238.254"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.34.247"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.42.134"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.69.176"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.71.106"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.76.183"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.190.77.2"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.193.26.229"	"IN"	"India"	"MH"	"Maharashtra"	"Pune"	"411001"	"Asia/Kolkata"	18.5333	73.8667	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.128.240"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.134.175"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.136.143"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.136.255"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.137.189"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.137.224"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.140.107"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.194.142.252"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.195.163.180"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.195.166.30"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.195.168.48"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.195.171.123"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.195.173.225"	"CN"	"China"	"JX"	"Jiangxi"	"Nanchang"	""	"Asia/Shanghai"	28.55	115.9333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.196.35.201"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.2.183.101"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.200.162.214"	"CN"	"China"	"SN"	"Shaanxi"	"Xi'an"	""	"Asia/Shanghai"	34.2583	108.9286	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.201.118.221"	"CN"	"China"	"SN"	"Shaanxi"	"Xi'an"	""	"Asia/Shanghai"	34.2583	108.9286	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.206.115.201"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.207.108.248"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.207.44.70"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.210.188.244"	"MY"	"Malaysia"	"10"	"Selangor"	"Shah Alam"	"40460"	"Asia/Kuala_Lumpur"	3.0538	101.5304	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.214.24.174"	"CN"	"China"	"ZJ"	"Zhejiang"	""	""	"Asia/Shanghai"	30.2936	120.1614	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.223.155.62"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.224.5.191"	"CN"	"China"	"LN"	"Liaoning"	"Shenyang"	""	"Asia/Shanghai"	41.7922	123.4328	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.224.56.1"	"CN"	"China"	"LN"	"Liaoning"	"Shenyang"	""	"Asia/Shanghai"	41.7922	123.4328	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.226.153.75"	"CN"	"China"	"LN"	"Liaoning"	"Dalian"	""	"Asia/Shanghai"	38.9122	121.6022	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.231.221.246"	"CN"	"China"	"LN"	"Liaoning"	"Shenyang"	""	"Asia/Shanghai"	41.7922	123.4328	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.241.135.130"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.242.213.184"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.242.64.102"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.243.130.202"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.243.130.235"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.243.130.243"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.243.175.238"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.243.221.198"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.244.3.122"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.246.33.201"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.246.53.210"	"CN"	"China"	"HN"	"Hunan"	"Changsha"	""	"Asia/Shanghai"	28.1792	113.1136	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.177.77"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.180.160"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.181.139"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.181.200"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.183.96"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.186.97"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.187.78"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.248.191.166"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.250.184.204"	"CN"	"China"	"CQ"	"Chongqing"	"Chongqing"	""	"Asia/Shanghai"	29.5628	106.5528	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.254.71.194"	"HK"	"Hong Kong"	"HCW"	"Central and Western District"	"Central"	""	"Asia/Hong_Kong"	22.2833	114.15	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.29.236.71"	"SG"	"Singapore"	""	""	""	""	"Asia/Singapore"	1.3667	103.8	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.53.223.186"	"TH"	"Thailand"	"91"	"Changwat Satun"	"Satun"	""	"Asia/Bangkok"	6.6231	100.0668	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.59.74.15"	"CN"	"China"	"HI"	"Hainan"	"Haikou"	""	"Asia/Shanghai"	20.0458	110.3417	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.63.10.233"	"CN"	"China"	"XZ"	"Tibet"	"Lhasa"	""	"Asia/Urumqi"	29.65	91.1	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.64.94.23"	"CN"	"China"	"GD"	"Guangdong"	"Guangzhou"	""	"Asia/Shanghai"	23.1167	113.25	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.65.138.252"	"CN"	"China"	"GD"	"Guangdong"	"Guangzhou"	""	"Asia/Shanghai"	23.1167	113.25	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.67.105.111"	"CN"	"China"	"GD"	"Guangdong"	"Guangzhou"	""	"Asia/Shanghai"	23.1167	113.25	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.71.242.41"	"CN"	"China"	"GD"	"Guangdong"	"Foshan"	""	"Asia/Shanghai"	23.0268	113.1315	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.71.242.62"	"CN"	"China"	"GD"	"Guangdong"	"Foshan"	""	"Asia/Shanghai"	23.0268	113.1315	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.74.28.184"	"CN"	"China"	"GD"	"Guangdong"	"Guangzhou"	""	"Asia/Shanghai"	23.1167	113.25	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.76.114.228"	"CN"	"China"	"GD"	"Guangdong"	"Guangzhou"	""	"Asia/Shanghai"	23.1167	113.25	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"113.77.85.204"	"CN"	"China"	"GD"	"Guangdong"	"Guangzhou"	""	"Asia/Shanghai"	23.1167	113.25	0
