Firstseen (UTC)	Version	Feodo C&C	Status	SBL	ASN	Country	Lastseen (UTC)\
2016-05-31 13:36:15	D	122.62.188.136	offline	Not listed	AS4771 SPARKNZ	- NZ	never\
2016-05-31 13:36:10	D	75.106.84.242	offline	Not listed	AS7155 VIASAT-SP-BACKBONE	- US	never\
2016-05-31 13:35:37	D	66.116.1.87	offline	Not listed	AS5742 CCINET	- US	never\
2016-05-31 13:35:33	D	67.197.109.253	offline	Not listed	AS14615 ROCK-HILL-TELEPHONE	- US	never\
2016-05-31 13:34:55	D	210.4.70.117	offline	Not listed	AS24122 BDCOM-BD-AS-AP	- BD	never\
2016-05-31 13:34:43	D	87.126.103.8	offline	Not listed	AS8866 BTC-AS	- BG	never\
2016-05-31 13:34:40	D	41.56.64.211	offline	Not listed	AS33762 WBS,	- ZA	never\
2016-05-31 13:34:35	D	195.24.93.41	offline	Not listed	AS25374 ESCOMBG-AS	- BG	never\
2016-05-31 13:34:33	D	87.121.124.33	offline	Not listed	AS58271 VSERVER-AS,	- BG	never\
2016-05-31 13:34:30	D	140.186.100.71	offline	Not listed	AS11232 MIDCO-NET	- US	never\
2016-05-31 13:33:56	D	73.72.208.195	offline	Not listed	AS7922 COMCAST-7922	- US	never\
2016-05-31 13:33:52	D	84.40.109.254	offline	Not listed	AS43561 NET1-AS,	- BG	never\
2016-05-31 13:33:49	D	185.91.12.31	offline	Not listed	AS39114 NL-1KEY,		never\
2016-05-31 13:33:46	D	176.31.126.53	offline	SBL300994	AS16276 OVH,	- FR	2017-06-10 19:17:47\
2016-05-27 16:09:24	D	87.106.173.115	offline	Not listed	AS8560 ONEANDONE-AS	- DE	never\
2016-05-26 04:27:12	D	80.88.89.222	offline	SBL300993	AS31034 ARUBA-ASN,	- IT	2016-06-01 03:11:32\
2016-05-18 11:22:59	D	162.244.67.31	offline	SBL298775	AS18501 CODERO-DFW	- US	2016-05-27 16:09:24\
2016-05-18 11:22:59	D	87.106.19.38	offline	SBL298776	AS8560 ONEANDONE-AS	- DE	never\
2016-05-17 09:51:25	D	160.16.69.29	offline	SBL298774	AS9370 SAKURA-B	- JP	2016-05-22 07:51:56\
2016-05-16 09:02:43	D	188.120.253.193	offline	Not listed	AS29182 ISPSYSTEM-AS,	- RU	2016-05-17 09:51:25\
2016-05-16 09:02:43	D	24.199.222.250	offline	SBL298773	AS11426 SCRR-11426	- US	2016-05-22 07:51:56\
2016-05-09 17:57:10	D	103.230.189.210	offline	SBL297936	AS133349 IDNIC-JUC-AS-ID	- ID	2016-07-12 11:45:51\
2016-05-09 17:57:10	D	46.249.199.87	offline	SBL297934	AS12703 PULSANT-AS,	- GB	never\
2016-05-08 02:12:19	D	162.251.84.219	offline	SBL297752	AS394695 PUBLIC-DOMAIN-REGISTRY	- VG	2016-05-26 04:27:12\
2016-05-06 03:18:01	D	104.131.50.79	offline	Not listed	AS14061 DIGITALOCEAN-ASN		2016-05-06 17:22:19\
2016-05-04 23:16:03	D	192.241.252.152	offline	SBL298771	AS14061 DIGITALOCEAN-ASN	- US	2016-05-18 11:22:59\
2016-05-01 05:54:10	D	213.192.1.171	offline	SBL296678	AS6830 LGI-UPC	- CZ	2016-06-01 03:11:32\
2016-04-29 20:10:07	D	176.9.113.214	offline	SBL296663	AS24940 HETZNER-AS,	- DE	2016-06-07 13:15:28\
2016-04-29 10:56:05	D	217.64.100.34	offline	SBL297534	AS21271 SOTELMABGP,	- ML	2016-05-09 17:57:10\
2016-04-29 10:56:05	D	45.127.92.175	offline	SBL296255	AS137522 OERL-AS-AP		2016-05-07 14:02:44\
2016-04-27 08:24:45	D	176.9.113.216	offline	Not listed	AS24940 HETZNER-AS,	- DE	never\
2016-04-24 21:21:30	D	186.250.48.10	offline	SBL295531	AS262807 Redfox	- BR	2016-06-22 20:28:09\
2016-04-24 02:56:03	D	200.159.128.144	offline	SBL295510	AS27688 Novanet	- BR	2016-05-18 11:22:59\
2016-04-20 13:36:13	D	193.90.12.221	offline	SBL295545	AS2116 ASN-CATCHCOM,	- NO	2016-04-30 20:52:12\
