latitude;longitude
3.856.363.425;-1.214.885.101
3.862.053.806;-1.214.489.382
3.860.765.045;-1.214.504.831
3.857.900.945;-121.489.911
386.296.517;-1.214.755.286
384.735.803;-1.214.443.013
3.861.110.308;-1.214.618.026
3.866.166.376;-1.214.558.592
3.864.420.903;-1.215.129.034
3.854.944.953;-1.214.614.493
3.850.098.733;-12.141.042
3.862.255.411;-1.214.560.212
3.857.308.322;-1.215.075.511
3.857.308.322;-1.215.075.511
3.857.308.322;-1.215.075.511
3.852.186.986;-1.215.116.968
3.861.775.373;-1.214.947.194
3.865.467.106;-1.214.625.907
3.849.502.703;-1.215.030.125
3.861.867.245;-1.214.481.266
3.846.101.961;-121.414.127
3.848.531.018;-1.215.356.226
3.864.336.682;-1.214.216.859
3.859.667.389;-1.215.056.982
3.855.513.128;-1.214.728.661
3.852.512.948;-1.214.487.903
3.857.372.161;-1.214.826.732
3.850.290.045;-1.214.819.248
3.866.172.026;-121.527.605
3.858.048.952;-1.214.715.453
3.860.055.347;-1.214.985.749
3.855.463.027;-1.214.116.414
385.722.972;-1.214.773.354
3.865.300.918;-1.214.618.713
3.852.845.688;-1.215.128.857
3.848.972.495;-1.215.024.485
3.857.905.171;-1.214.976.906
3.851.382.164;-1.215.269.234
3.863.684.482;-1.214.423.353
3.868.251.335;-1.215.015.993
3.861.586.018;-1.214.445.924
3.853.402.736;-1.214.978.746
3.853.402.736;-1.214.978.746
3.853.432.365;-121.488.409
3.863.908.268;-1.214.042.501
3.857.984.491;-1.214.669.044
3.863.535.473;-1.214.622.882
3.863.365.507;-121.500.334
3.851.928.736;-1.213.889.165
3.856.010.621;-1.214.867.588
385.404.985;-1.214.212.258
3.854.219.716;-1.214.673.115
3.853.494.151;-1.214.335.978
3.853.243.835;-1.214.139.778
3.852.718.667;-1.214.712.477
3.862.688.953;-1.215.279.374
385.923.559;-1.214.926.811
3.861.199.425;-1.214.244.182
3.849.397.262;-1.215.075.131
3.862.145.778;-12.149.973
3.860.929.375;-1.214.404.159
3.857.920.289;-121.493.943
3.857.965.854;-1.214.681.757
3.848.235.122;-1.214.506.994
3.847.704.073;-1.215.231.254
3.862.612.259;-1.215.047.204
384.797.218;-121.440.072
3.857.882.476;-1.214.878.834
3.851.839.666;-1.213.965.716
3.867.803.627;-1.215.363.804
3.865.333.642;-1.215.363.135
3.849.417.981;-1.215.235.386
3.863.908.268;-1.214.042.501
3.858.207.989;-1.215.000.936
3.851.896.869;-1.215.205.386
3.860.027.317;-1.214.252.477
3.854.264.475;-1.214.703.011
3.853.069.117;-1.214.105.872
38.616.307;-1.214.225.354
3.863.909.731;-1.214.413.653
3.851.364.018;-1.214.211.919
3.854.368.712;-1.214.443.079
3.860.672.341;-1.214.755.923
3.866.321.971;-1.215.276.476
3.854.242.538;-1.214.757.955
384.876.828;-1.214.716.869
385.740.577;-1.215.081.215
3.849.442.501;-1.214.749.039
3.856.940.412;-1.214.417.047
3.856.480.438;-1.214.781.317
386.161.168;-1.214.529.308
3.856.654.113;-1.214.436.297
3.857.688.189;-1.214.783.232
3.850.336.488;-1.215.391.044
3.857.991.197;-1.214.966.071
3.848.155.327;-1.214.608.538
3.863.252.107;-1.214.529.344
3.861.186.919;-1.214.235.653
3.854.121.247;-1.214.711.438
3.857.024.299;-1.214.262.591
3.854.988.284;-1.213.883.992
3.866.583.461;-1.214.267.572
3.864.006.189;-1.214.530.341
3.858.249.661;-1.214.892.459
3.857.899.998;-1.215.073.808
3.856.641.822;-1.214.828.556
3.851.270.034;-1.215.368.634
3.849.511.942;-1.214.760.448
386.377.679;-1.214.300.114
3.849.362.212;-121.458.006
3.865.899.218;-1.214.600.156
3.861.409.015;-1.215.086.433
3.861.722.561;-121.421.177
3.860.845.539;-1.215.250.742
3.857.734.295;-1.214.962.474
384.730.026;-1.214.333.379
3.848.646.868;-1.214.758.183
3.853.563.438;-1.214.936.121
3.857.706.706;-1.214.767.617
3.862.916.107;-121.437.666
3.856.767.025;-1.214.852.913
3.856.863.488;-121.476.897
3.861.619.673;-1.215.179.002
3.857.777.929;-121.479.429
3.863.228.581;-1.214.303.283
384.497.213;-1.214.258.719
3.863.070.434;-1.214.303.689
3.857.759.578;-121.506.495
3.855.378.987;-121.466.571
3.844.313.648;-1.214.236.588
38.582.786;-1.215.027.369
3.853.424.184;-121.428.681
3.854.364.991;-1.214.697.342
3.854.844.544;-1.214.882.798
3.858.138.778;-121.483.793
385.470.688;-1.213.989.901
3.844.814.292;-1.214.281.961
3.863.778.289;-1.214.336.278
3.856.979.971;-1.214.679.798
3.860.574.184;-1.214.277.652
3.866.064.286;-1.215.030.691
384.801.213;-1.214.664.854
3.864.426.884;-1.214.274.874
385.777.553;-1.214.838.823
3.851.495.249;-121.535.615
3.848.090.489;-1.214.584.308
3.852.718.667;-1.214.712.477
3.863.862.878;-1.213.815.598
3.864.662.608;-1.215.027.081
3.851.408.657;-1.215.030.091
3.855.531.685;-1.214.792.852
3.853.881.527;-121.479.014
3.862.928.795;-1.215.064.872
3.847.428.454;-1.214.227.089
3.867.081.464;-1.215.077.758
3.861.668.041;-121.488.539
3.866.809.307;-1.215.064.006
38.579.198;-1.214.847.429
3.855.864.807;-1.215.050.314
3.858.245.363;-1.215.052.755
3.851.737.845;-1.214.347.262
3.857.905.171;-1.214.976.906
3.854.121.247;-1.214.711.438
3.862.942.123;-1.215.055.446
3.852.488.785;-1.214.717.471
3.863.869.884;-1.214.424.398
3.857.629.892;-1.214.830.358
3.862.675.838;-1.214.354.096
3.847.717.845;-1.214.972.996
